name,category,url,all_urls,domain,crawl_class,format,frequency,access,coverage,data_type,tags,notes
JODI Oil,Crude Oil & Refined Products,https://www.jodidata.org/oil/,https://www.jodidata.org/oil/,jodidata.org,deep,"CSV, XLS, web tables",monthly,free,"~90 countries, global oil balance",numeric,"[energy, oil, balances, global, fundamentals]","Only consolidated public dataset covering OPEC + non-OECD oil production, demand, stocks, trade. Underused due to clunky UI."
OPEC Monthly Oil Market Report (MOMR),Crude Oil & Refined Products,https://www.opec.org/opec_web/en/publications/202.htm,https://www.opec.org/opec_web/en/publications/202.htm,opec.org,deep,PDF,monthly,free,"Global, OPEC focus",mixed,"[energy, oil, narrative, balances, opec]","Authoritative OPEC view on demand/supply balance, full report free."
IEA Oil Market Report (OMR),Crude Oil & Refined Products,https://www.iea.org/reports/oil-market-report,https://www.iea.org/reports/oil-market-report,iea.org,deep,"PDF, summary HTML",monthly,"mixed (highlights free, full $)",Global,mixed,"[energy, oil, narrative, balances]",Companion to OPEC MOMR; often diverges in demand outlook.
EIA Today in Energy,Crude Oil & Refined Products,https://www.eia.gov/todayinenergy/,https://www.eia.gov/todayinenergy/,eia.gov,deep,HTML articles,daily,free,"Mostly US, some global",text,"[energy, narrative, daily, eia]",High-signal short analytical pieces; excellent NLP corpus for narrative/event extraction.
EIA Short-Term Energy Outlook (STEO),Crude Oil & Refined Products,https://www.eia.gov/outlooks/steo/,https://www.eia.gov/outlooks/steo/,eia.gov,deep,PDF + full XLSX data download,monthly,free,Global energy,mixed,"[energy, oil, gas, power, forecasts]","Includes full forecast tables for crude, products, gas, power, renewables."
EIA Drilling Productivity Report (DPR),Crude Oil & Refined Products,https://www.eia.gov/petroleum/drilling/,https://www.eia.gov/petroleum/drilling/,eia.gov,deep,"PDF, XLSX",monthly,free,US shale basins,numeric,"[energy, oil, shale, us, leading_indicator]","Basin-level rig productivity, DUC inventory; leading indicator for US production."
"EIA Refinery Capacity / Outages (EIA-820, EIA-810)",Crude Oil & Refined Products,https://www.eia.gov/petroleum/refinery/,https://www.eia.gov/petroleum/refinery/,eia.gov,deep,XLSX,semi-annual + ad hoc,free,US refineries,numeric,"[energy, refining, us]","Capacity by unit type (CDU, FCC, hydrocracker, reformer); key for crack spread modeling."
North Dakota Department of Mineral Resources (DMR),Crude Oil & Refined Products,https://www.dmr.nd.gov/oilgas/,https://www.dmr.nd.gov/oilgas/,dmr.nd.gov,deep,"PDF Director's Cut, XLSX",monthly,free,Bakken basin,mixed,"[energy, oil, shale, bakken, us]","Director's Cut narrative + granular production, GOR, flaring, well counts. Lag ~60 days."
Texas Railroad Commission (RRC),Crude Oil & Refined Products,https://www.rrc.texas.gov/oil-and-gas/research-and-statistics/,https://www.rrc.texas.gov/oil-and-gas/research-and-statistics/,rrc.texas.gov,deep,"HTML, downloadable reports",monthly,free,"Texas (Permian, Eagle Ford)",numeric,"[energy, oil, shale, permian, us]",District-level production; reporting lags can be substantial.
Alberta Energy Regulator (AER) ST3 / ST53,Crude Oil & Refined Products,https://www.aer.ca/providing-information/data-and-reports/statistical-reports,https://www.aer.ca/providing-information/data-and-reports/statistical-reports,aer.ca,deep,"PDF, CSV",monthly,free,Alberta oilsands + conventional,numeric,"[energy, oil, oilsands, canada]","Bitumen production, SAGD vs mining split, well-level."
